app - INFO - Microblog startup
werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:52:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:53:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:54:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:55:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:56:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:57:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:58:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:59:52] "GET /notifications?since=0 HTTP/1.1" 200 -
